data_idx,mapped_rxn,template
3801,CCCCCCC.CCO.COc1ccc(C[O:1][c:2]2[cH:3][cH:4][cH:5][c:6]([O:7][c:8]3[cH:9][cH:10][cH:11][cH:12][cH:13]3)[c:14]2[CH3:15])cc1.[Pd]>>[OH:1][c:2]1[cH:3][cH:4][cH:5][c:6]([O:7][c:8]2[cH:9][cH:10][cH:11][cH:12][cH:13]2)[c:14]1[CH3:15],C-O-c1:c:c:c(-C-[O:1]-c):c:c:1>>[O:1]-c
3949,CC1(C)OB([c:1]2[cH:2][c:3]3[cH:4][c:5](-[c:6]4[c:7]([O:8][CH3:9])[cH:10][cH:11][cH:12][cH:13]4)[nH:14][c:15]3[cH:16][cH:17]2)OC1(C)C.CN(C)C=O.Cl[Pd]Cl.O=C([O-])[O-].O=S(=O)(O[C:18]1=[CH:19][CH2:20][N:21]([C:22]([O:23][C:24]([CH3:25])([CH3:26])[CH3:27])=[O:28])[CH2:29][C:30]1([CH3:31])[CH3:32])C(F)(F)F.[Cs+].[Cs+].[Fe+2].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1>>[c:1]1([C:18]2=[CH:19][CH2:20][N:21]([C:22]([O:23][C:24]([CH3:25])([CH3:26])[CH3:27])=[O:28])[CH2:29][C:30]2([CH3:31])[CH3:32])[cH:2][c:3]2[cH:4][c:5](-[c:6]3[c:7]([O:8][CH3:9])[cH:10][cH:11][cH:12][cH:13]3)[nH:14][c:15]2[cH:16][cH:17]1,C-C1(-C)-O-B(-[c:2])-O-C-1(-C)-C.C=[C:1]-O-S(=O)(=O)-C(-F)(-F)-F>>C=[C:1]-[c:2]
4407,[OH:17][CH2:1][CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][O:11][CH2:12][C:13]#[CH:14].[Cl-].[O:15]=[C:16](O)[CH:18]1[CH2:19][CH2:20]1.c1ccncc1>>[CH2:1]([CH2:2][CH2:3][CH2:4][CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][CH2:10][O:11][CH2:12][C:13]#[CH:14])[O:17][C:16](=[O:15])[CH:18]1[CH2:19][CH2:20]1,[O:2].O-[C:1]=O>>O=[C:1]-[O:2]
4623,CN1CCCC1=O.I[c:1]1[cH:2][cH:3][c:4]([N:5]2[c:6]3[cH:7][cH:8][cH:9][c:10]([O:11][CH:12]4[CH2:13][CH2:14][N:15]([C:16]([O:17][CH:18]([CH3:19])[CH3:20])=[O:21])[CH2:22][CH2:23]4)[c:24]3[CH2:25][CH2:26]2)[cH:27][cH:28]1.[Cu][C:29]#[N:30]>>[c:1]1([C:29]#[N:30])[cH:2][cH:3][c:4]([N:5]2[c:6]3[cH:7][cH:8][cH:9][c:10]([O:11][CH:12]4[CH2:13][CH2:14][N:15]([C:16]([O:17][CH:18]([CH3:19])[CH3:20])=[O:21])[CH2:22][CH2:23]4)[c:24]3[CH2:25][CH2:26]2)[cH:27][cH:28]1,I-[c:2].N#[C:1]-[Cu]>>N#[C:1]-[c:2]
4875,Br[c:1]1[cH:2][n:3][cH:4][c:5]([O:6][CH2:7][CH:8]2[CH2:9][CH2:10][N:11]([CH2:12][c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[CH2:19]2)[cH:20]1.C1CCOC1.O.[Br-].[Mg+][CH3:21]>>[c:1]1([CH3:21])[cH:2][n:3][cH:4][c:5]([O:6][CH2:7][CH:8]2[CH2:9][CH2:10][N:11]([CH2:12][c:13]3[cH:14][cH:15][cH:16][cH:17][cH:18]3)[CH2:19]2)[cH:20]1,Br-[c:1].[C:2]-[Mg+]>>[c:1]-[C:2]
5296,ClC(Cl)Cl.O=C([O-])O.O=S(=O)(O)O.[CH2:1]=[C:2]([CH3:3])[CH3:4].[Na+].[O:5]=[C:6]([OH:7])[C@@H:8]1[CH2:9][S:10][CH:11]([c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[NH:18]1>>[CH3:1][C:2]([CH3:3])([CH3:4])[O:7][C:6](=[O:5])[C@@H:8]1[CH2:9][S:10][CH:11]([c:12]2[cH:13][cH:14][cH:15][cH:16][cH:17]2)[NH:18]1,O=C-[O:1].[C:2]=[C:3]>>O=C-[O:1]-[C:2]-[C:3]
5316,CC1(C)OB([C:1]2=[CH:2][C:3]([CH3:4])([CH3:5])[CH2:6][C:7]([CH3:8])([CH3:9])[CH2:10]2)OC1(C)C.COCCOC.O.O=S(=O)(O[c:11]1[c:12]([N+:13](=[O:14])[O-:15])[cH:16][cH:17][c:18]([N:19]2[CH2:20][CH2:21][CH:22]([O:23][CH3:24])[CH2:25][CH2:26]2)[cH:27]1)C(F)(F)F>>[C:1]1([c:11]2[c:12]([N+:13](=[O:14])[O-:15])[cH:16][cH:17][c:18]([N:19]3[CH2:20][CH2:21][CH:22]([O:23][CH3:24])[CH2:25][CH2:26]3)[cH:27]2)=[CH:2][C:3]([CH3:4])([CH3:5])[CH2:6][C:7]([CH3:8])([CH3:9])[CH2:10]1,F-C(-F)(-F)-S(=O)(=O)-O-[c:2].C-C1(-C)-O-B(-[C:1]=C)-O-C-1(-C)-C>>C=[C:1]-[c:2]
5568,CCO.CO[C:1]([C:2]([NH:3][c:4]1[cH:5][cH:6][c:7]([O:8][CH:9]2[CH2:10][CH2:11][C:12]([C:13]([O:14][CH2:15][CH3:16])=[O:17])([CH3:18])[CH2:19][CH2:20]2)[n:21][cH:22]1)=[O:23])=[O:24].O.[NH2:25][NH2:26]>>[C:1]([C:2]([NH:3][c:4]1[cH:5][cH:6][c:7]([O:8][CH:9]2[CH2:10][CH2:11][C:12]([C:13]([O:14][CH2:15][CH3:16])=[O:17])([CH3:18])[CH2:19][CH2:20]2)[n:21][cH:22]1)=[O:23])(=[O:24])[NH:25][NH2:26],[N:2].C-O-[C:1]=O>>O=[C:1]-[N:2]
5582,CC(C)(C)[O:1][C:2]([c:3]1[cH:4][cH:5][c:6]([O:7][c:8]2[c:9]([Cl:10])[cH:11][c:12]3[c:13]([c:14]2[Br:15])[O:16][CH2:17][CH2:18][CH:19]3[C:20]([O:21][CH2:22][CH3:23])=[O:24])[cH:25][cH:26]1)=[O:27].ClCCl.O=C(O)C(F)(F)F>>[OH:1][C:2]([c:3]1[cH:4][cH:5][c:6]([O:7][c:8]2[c:9]([Cl:10])[cH:11][c:12]3[c:13]([c:14]2[Br:15])[O:16][CH2:17][CH2:18][CH:19]3[C:20]([O:21][CH2:22][CH3:23])=[O:24])[cH:25][cH:26]1)=[O:27],C-C(-C)(-C)-[O:1]-C(=O)-c>>O=C(-[O:1])-c
5638,Cc1ccc(S(=O)(=O)[O-])cc1.ClCCl.[CH:1]1=[CH:2][O:3][CH2:4][CH2:5][CH2:6]1.[O:7]=[C:8]([OH:9])[c:10]1[cH:11][cH:12][c:13]([OH:14])[cH:15][cH:16]1.c1cc[nH+]cc1>>[CH2:1]1[CH:2]([O:14][c:13]2[cH:12][cH:11][c:10]([C:8](=[O:7])[OH:9])[cH:16][cH:15]2)[O:3][CH2:4][CH2:5][CH2:6]1,[O:3]-c.[C:1]=[C:2]>>[C:1]-[C:2]-[O:3]-c
5740,C1CCOC1.CCOC(C)=O.ClCCl.Cl[Pd]Cl.Cl[c:1]1[cH:2][cH:3][n:4][c:5]([Cl:6])[n:7]1.O=P([O-])([O-])[O-].OB(O)[CH:8]1[CH2:9][CH2:10]1.[Fe+2].[K+].[K+].[K+].c1ccc(P(c2ccccc2)[c-]2cccc2)cc1.c1ccc(P(c2ccccc2)[c-]2cccc2)cc1>>[c:1]1([CH:8]2[CH2:9][CH2:10]2)[cH:2][cH:3][n:4][c:5]([Cl:6])[n:7]1,Cl-[c:1].O-B(-O)-[C:2]>>[c:1]-[C:2]
5875,C1=CCCCC1.CCO.Cl[c:1]1[n:2][c:3]([NH2:4])[n:5][c:6]([NH:7][CH2:8][C:9]2([CH2:10][OH:11])[CH2:12][CH2:13][CH2:14]2)[cH:15]1.[OH-].[OH-].[Pd+2]>>[cH:1]1[n:2][c:3]([NH2:4])[n:5][c:6]([NH:7][CH2:8][C:9]2([CH2:10][OH:11])[CH2:12][CH2:13][CH2:14]2)[cH:15]1,Cl-[c:1]>>[c:1]
5885,CCN(CC)CC.O=[C:1]([c:2]1[cH:3][cH:4][c:5]2[c:6]([cH:7]1)[NH:8][C:9](=[O:10])[CH2:11][O:12]2)[CH2:13][C:14](=O)[C:15]([F:16])([F:17])[F:18].[NH2:19][NH:20][c:21]1[cH:22][cH:23][cH:24][c:25]([C:26]([F:27])([F:28])[F:29])[cH:30]1>>[c:1]1(-[c:2]2[cH:3][cH:4][c:5]3[c:6]([cH:7]2)[NH:8][C:9](=[O:10])[CH2:11][O:12]3)[cH:13][c:14]([C:15]([F:16])([F:17])[F:18])[n:19][n:20]1-[c:21]1[cH:22][cH:23][cH:24][c:25]([C:26]([F:27])([F:28])[F:29])[cH:30]1,[N:2]-[N:3].O=[C:4]-[C:5]-[C:1]=O>>[c:1]1:[n:2]:[n:3]:[c:4]:[c:5]:1
7556,C1CCCCC1.CS(C)=O.Cl[C:1]([O:2][CH3:3])=[O:4].[K].[cH:5]1[cH:6][cH:7][nH:8][cH:9]1>>[C:1]([O:2][CH3:3])(=[O:4])[n:8]1[cH:7][cH:6][cH:5][cH:9]1,[n:2].Cl-[C:1](-O)=O>>O-[C:1](=O)-[n:2]
8071,CC(=O)O.O=S(=O)(O)O.O=[CH2:1].[CH3:2][S:3](=[O:4])(=[O:5])[NH:6][CH2:7][CH2:8][c:9]1[cH:10][cH:11][cH:12][c:13]([N+:14](=[O:15])[O-:16])[cH:17]1>>[CH2:1]1[N:6]([S:3]([CH3:2])(=[O:4])=[O:5])[CH2:7][CH2:8][c:9]2[c:10]1[cH:11][cH:12][c:13]([N+:14](=[O:15])[O-:16])[cH:17]2,[N:1].[c:3].O=[C:2]>>[N:1]-[C:2]-[c:3]
8102,Br[c:1]1[cH:2][c:3]([CH2:4][C@@H:5]([CH2:6][C:7]([O:8][CH2:9][CH3:10])=[O:11])[C:12](=[O:13])[O:14][CH2:15][CH3:16])[c:17]([CH2:18][O:19][C:20]([CH3:21])=[O:22])[c:23]2[c:24]1[nH:25][n:26][cH:27]2.C[Sn](C)(C)[CH3:28]>>[c:1]1([CH3:28])[cH:2][c:3]([CH2:4][C@@H:5]([CH2:6][C:7]([O:8][CH2:9][CH3:10])=[O:11])[C:12](=[O:13])[O:14][CH2:15][CH3:16])[c:17]([CH2:18][O:19][C:20]([CH3:21])=[O:22])[c:23]2[c:24]1[nH:25][n:26][cH:27]2,Br-[c:1].C-[Sn](-C)(-C)-[C:2]>>[c:1]-[C:2]
8230,C1CCOC1.CCN(CC)CC.Cl[C:1]([O:2][CH2:3][CH2:4][CH2:5][CH3:6])=[O:7].[NH:8]=[C:9]1[S:10][CH2:11][CH2:12][N:13]1[c:14]1[cH:15][cH:16][cH:17][c:18]([C:19]([F:20])([F:21])[F:22])[cH:23]1>>[C:1]([O:2][CH2:3][CH2:4][CH2:5][CH3:6])(=[O:7])[N:8]=[C:9]1[S:10][CH2:11][CH2:12][N:13]1[c:14]1[cH:15][cH:16][cH:17][c:18]([C:19]([F:20])([F:21])[F:22])[cH:23]1,C=[N:1].Cl-[C:2](-O)=O>>C=[N:1]-[C:2](-O)=O
8437,CCN(CC)CC.CN(C)C=O.CO.C[Si](C)(C)[C:1]#[CH:2].Cl[Pd]Cl.I[c:3]1[cH:4][c:5]([O:6][CH3:7])[c:8]([O:9][CH2:10][CH2:11][OH:12])[c:13]([CH:14]2[NH:15][C:16](=[O:17])[CH2:18][CH:19]([c:20]3[cH:21][cH:22][cH:23][c:24]([Cl:25])[cH:26]3)[C:27]23[C:28](=[O:29])[NH:30][c:31]2[cH:32][c:33]([Cl:34])[cH:35][cH:36][c:37]23)[cH:38]1.[Cu]I.[Na+].[OH-].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1>>[C:1](#[CH:2])[c:3]1[cH:4][c:5]([O:6][CH3:7])[c:8]([O:9][CH2:10][CH2:11][OH:12])[c:13]([CH:14]2[NH:15][C:16](=[O:17])[CH2:18][CH:19]([c:20]3[cH:21][cH:22][cH:23][c:24]([Cl:25])[cH:26]3)[C:27]23[C:28](=[O:29])[NH:30][c:31]2[cH:32][c:33]([Cl:34])[cH:35][cH:36][c:37]23)[cH:38]1,I-[c:2].C-[Si](-C)(-C)-[C:1]#C>>C#[C:1]-[c:2]
8511,CCO.CCO[C:1](=[O:2])[CH2:3][N:4]1[C:5](=[O:6])[CH2:7][O:8][c:9]2[cH:10][c:11]([F:12])[cH:13][cH:14][c:15]21.O.[NH3:16]>>[C:1](=[O:2])([CH2:3][N:4]1[C:5](=[O:6])[CH2:7][O:8][c:9]2[cH:10][c:11]([F:12])[cH:13][cH:14][c:15]21)[NH2:16],[N:2].C-C-O-[C:1]=O>>O=[C:1]-[N:2]
9031,CO.O=[C:1]([CH3:2])[CH:3]1[C:4](=O)[CH2:5][CH2:6][CH2:7][C:8]1=[O:9].[NH2:10][NH2:11]>>[c:1]1([CH3:2])[c:3]2[c:4]([nH:11][n:10]1)[CH2:5][CH2:6][CH2:7][C:8]2=[O:9],[N:3]-[N:4].O=C-[C:1](-[C:2]=O)-[C:5]=O>>O=C-[c:1]1:[c:2]:[n:3]:[n:4]:[c:5]:1
9819,Br[c:1]1[c:2]([NH2:3])[n:4][cH:5][c:6](-[c:7]2[cH:8][cH:9][c:10]([O:11][Si:12]([C:13]([CH3:14])([CH3:15])[CH3:16])([CH3:17])[CH3:18])[cH:19][cH:20]2)[n:21]1.CCO.Cc1ccccc1.Cl[Pd]Cl.O.O=C([O-])[O-].OB(O)/[CH:22]=[CH:23]/[c:24]1[cH:25][cH:26][cH:27][cH:28][cH:29]1.[Na+].[Na+].c1ccc(P(c2ccccc2)c2ccccc2)cc1.c1ccc(P(c2ccccc2)c2ccccc2)cc1>>[c:1]1(/[CH:22]=[CH:23]/[c:24]2[cH:25][cH:26][cH:27][cH:28][cH:29]2)[c:2]([NH2:3])[n:4][cH:5][c:6](-[c:7]2[cH:8][cH:9][c:10]([O:11][Si:12]([C:13]([CH3:14])([CH3:15])[CH3:16])([CH3:17])[CH3:18])[cH:19][cH:20]2)[n:21]1,Br-[c:2].C=[C:1]/B(-O)-O>>C=[C:1]/[c:2]
9898,C1COCCO1.CC(=O)O.O=c1ccc2ccccc2o1.[H][H].[Pd].c1ccc(C[O:1][C:2]([CH2:3][NH:4][C:5]([c:6]2[cH:7][c:8]3[c:9]([cH:10][c:11]([O:12][C:13]([CH2:14][CH2:15][CH3:16])=[O:17])[c:18]([Cl:19])[cH:20]3)[o:21][c:22]2=[O:23])=[O:24])=[O:25])cc1>>[OH:1][C:2]([CH2:3][NH:4][C:5]([c:6]1[cH:7][c:8]2[c:9]([cH:10][c:11]([O:12][C:13]([CH2:14][CH2:15][CH3:16])=[O:17])[c:18]([Cl:19])[cH:20]2)[o:21][c:22]1=[O:23])=[O:24])=[O:25],O=C-[O:1]-C-c1:c:c:c:c:c:1>>O=C-[O:1]
9959,ClCCl.NN.O.O=C([O-])[O-].O=C1c2ccccc2C(=O)[N:1]1[CH2:2][c:3]1[c:4]2[c:5]([cH:6][cH:7][c:8]1[O:9][CH3:10])[N:11]([CH3:12])[c:13]1[cH:14][cH:15][c:16]([O:17][CH3:18])[c:19]([CH2:20][C:21]#[N:22])[c:23]1[O:24]2.[Na+].[Na+]>>[NH2:1][CH2:2][c:3]1[c:4]2[c:5]([cH:6][cH:7][c:8]1[O:9][CH3:10])[N:11]([CH3:12])[c:13]1[cH:14][cH:15][c:16]([O:17][CH3:18])[c:19]([CH2:20][C:21]#[N:22])[c:23]1[O:24]2,O=C1-[N:1]-C(=O)-c2:c:c:c:c:c:2-1>>[N:1]
10118,CC(=O)N(C)C.I[c:1]1[c:2]([C:3]([O:4][CH3:5])=[O:6])[n:7][c:8]2[n:9]1[CH:10]1[CH2:11][CH:12]([CH2:13]1)[c:14]1[cH:15][cH:16][c:17]([Br:18])[cH:19][c:20]1-2.[I-].[Zn+][CH2:21][C:22]1([CH3:23])[CH2:24][O:25][CH2:26]1>>[c:1]1([CH2:21][C:22]2([CH3:23])[CH2:24][O:25][CH2:26]2)[c:2]([C:3]([O:4][CH3:5])=[O:6])[n:7][c:8]2[n:9]1[CH:10]1[CH2:11][CH:12]([CH2:13]1)[c:14]1[cH:15][cH:16][c:17]([Br:18])[cH:19][c:20]1-2,I-[c:1].[C:2]-[Zn+]>>[c:1]-[C:2]
10244,CB1OB(C)OB([CH3:1])O1.CN(C)C=O.Cl[c:2]1[c:3]([CH2:4][C:5]([CH3:6])=[O:7])[c:8]([C:9](=[O:10])[NH:11][C:12]([CH3:13])([CH3:14])[CH3:15])[n:16][cH:17][cH:18]1.O=C([O-])[O-].[K+].[K+]>>[CH3:1][c:2]1[c:3]([CH2:4][C:5]([CH3:6])=[O:7])[c:8]([C:9](=[O:10])[NH:11][C:12]([CH3:13])([CH3:14])[CH3:15])[n:16][cH:17][cH:18]1,Cl-[c:1].C-B1-O-B(-C)-O-B(-[C:2])-O-1>>[c:1]-[C:2]
10383,Cl.Cl[S:1](=[O:2])(=[O:3])[c:4]1[cH:5][cH:6][cH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]12.O.O=C([O-])O.O=S([O-])[O-].[Na+].[Na+].[Na+]>>[S:1](=[O:2])([OH:3])[c:4]1[cH:5][cH:6][cH:7][c:8]2[cH:9][cH:10][cH:11][cH:12][c:13]12,Cl-[S:1]=[O:2]>>[S:1]-[O:2]
10532,CO.C[Si](C)(C)[O:1][C:2]([CH3:3])([CH3:4])[CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][Br:10].Cl>>[OH:1][C:2]([CH3:3])([CH3:4])[CH2:5][CH2:6][CH2:7][CH2:8][CH2:9][Br:10],C-[Si](-C)(-C)-[O:1]>>[O:1]
11014,Br[c:1]1[cH:2][cH:3][c:4]2[cH:5][c:6](-[c:7]3[cH:8][cH:9][c:10]([F:11])[cH:12][cH:13]3)[s:14][c:15]2[cH:16]1.CCCC[N+](CCCC)(CCCC)CCCC.Cc1ccccc1.ClCCl.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C(/C=C/c1ccccc1)/C=C/c1ccccc1.O=C([O-])[O-].[Cl-].[Cs+].[Cs+].[Na+].[O:17]=[S:18]([O-:19])[c:20]1[cH:21][cH:22][cH:23][cH:24][cH:25]1.[Pd].[Pd]>>[c:1]1([S:18](=[O:17])(=[O:19])[c:20]2[cH:21][cH:22][cH:23][cH:24][cH:25]2)[cH:2][cH:3][c:4]2[cH:5][c:6](-[c:7]3[cH:8][cH:9][c:10]([F:11])[cH:12][cH:13]3)[s:14][c:15]2[cH:16]1,Br-[c:1].[O:3]-[S:2]>>[c:1]-[S:2]=[O:3]
11483,CN(C)[CH:1]=[O:2].O.[F:3][c:4]1[cH:5][cH:6][c:7]([O:8][CH2:9][C:10]([F:11])([F:12])[F:13])[c:14]([Cl:15])[cH:16]1.[Li]CCCC>>[CH:1](=[O:2])[c:16]1[c:4]([F:3])[cH:5][cH:6][c:7]([O:8][CH2:9][C:10]([F:11])([F:12])[F:13])[c:14]1[Cl:15],[c:2].C-N(-C)-[C:1]=O>>O=[C:1]-[c:2]
11777,C1CCOC1.CC(C)[Mg+].Cl[Sn:1]([CH2:2][CH2:3][CH2:4][CH3:5])([CH2:6][CH2:7][CH2:8][CH3:9])[CH2:10][CH2:11][CH2:12][CH3:13].I[c:14]1[n:15][cH:16][cH:17][c:18]([C:19]([NH:20][CH3:21])=[O:22])[cH:23]1.[Cl-].[H-].[Na+]>>[Sn:1]([CH2:2][CH2:3][CH2:4][CH3:5])([CH2:6][CH2:7][CH2:8][CH3:9])([CH2:10][CH2:11][CH2:12][CH3:13])[c:14]1[n:15][cH:16][cH:17][c:18]([C:19]([NH:20][CH3:21])=[O:22])[cH:23]1,Cl-[Sn:1].I-[c:2]>>[Sn:1]-[c:2]
