index,Reaction,Ground turth,LocalMapper,RXNMapper,GraphMapper,LocalMapper_Conf,RXNMapper_Conf,GraphMapper_Conf,Source
189,Cc1ccc(S(=O)(=O)Cl)cc1.NN>>Cc1ccc(S(=O)(=O)NN)cc1,[Cl:3][S:4](=[O:5])([c:6]1[cH:7][cH:8][c:9]([CH3:10])[cH:11][cH:12]1)=[O:13].[NH2:1][NH2:2]>>[NH:1]([NH2:2])[S:4](=[O:5])([c:6]1[cH:7][cH:8][c:9]([CH3:10])[cH:11][cH:12]1)=[O:13],Cl[S:4](=[O:5])([c:6]1[cH:7][cH:8][c:9]([CH3:10])[cH:11][cH:12]1)=[O:13].[NH2:1][NH2:2]>>[NH:1]([NH2:2])[S:4](=[O:5])([c:6]1[cH:7][cH:8][c:9]([CH3:10])[cH:11][cH:12]1)=[O:13],Cl[S:6]([c:5]1[cH:4][cH:3][c:2]([CH3:1])[cH:12][cH:11]1)(=[O:7])=[O:8].[NH2:9][NH2:10]>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[NH:9][NH2:10])[cH:11][cH:12]1,[NH2:12][NH2:13].[cH:3]1[cH:4][c:5]([cH:10][cH:11][c:2]1[CH3:1])[S:6](=[O:8])(=[O:7])[Cl:9]>>[cH:4]1[cH:3][c:2]([cH:11][cH:10][c:5]1[S:6](=[O:8])(=[O:7])[NH:12][NH2:13])[CH3:1],True,0.3365850011864051,0,golden
190,BrCc1ccccc1.CC(=NO)c1cccnc1>>CC(=NOCc1ccccc1)c1cccnc1,[Br:11][CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1.[CH3:1][C:2]([c:3]1[cH:4][cH:5][cH:6][n:7][cH:8]1)=[N:9][OH:10]>>[CH3:1][C:2]([c:3]1[cH:4][cH:5][cH:6][n:7][cH:8]1)=[N:9][O:10][CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,Br[CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1.[CH3:1][C:2]([c:3]1[cH:4][cH:5][cH:6][n:7][cH:8]1)=[N:9][OH:10]>>[CH3:1][C:2]([c:3]1[cH:4][cH:5][cH:6][n:7][cH:8]1)=[N:9][O:10][CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,Br[CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1.[CH3:1][C:2](=[N:3][OH:4])[c:12]1[cH:13][cH:14][cH:15][n:16][cH:17]1>>[CH3:1][C:2](=[N:3][O:4][CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[c:12]1[cH:13][cH:14][cH:15][n:16][cH:17]1,[cH:15]1[cH:16][n:17][cH:18][c:13]([C:10]([CH3:9])=[N:11][OH:12])[cH:14]1.[cH:4]1[cH:5][cH:6][cH:7][cH:8][c:3]1[CH2:2][Br:1]>>[cH:5]1[cH:4][c:3]([cH:8][cH:7][cH:6]1)[CH2:2][O:12][N:11]=[C:10]([CH3:9])[c:13]2[cH:18][n:17][cH:16][cH:15][cH:14]2,True,0.9698864826000738,0,golden
191,C=CCO.CC(C)(C)[Si](C)(C)Cl>>C=CCO[Si](C)(C)C(C)(C)C,[CH3:1][C:2]([CH3:3])([Si:4]([CH3:5])([Cl:6])[CH3:7])[CH3:8].[OH:9][CH2:10][CH:11]=[CH2:12]>>[CH3:1][C:2]([CH3:3])([Si:4]([CH3:5])([CH3:7])[O:9][CH2:10][CH:11]=[CH2:12])[CH3:8],[CH3:1][C:2]([CH3:3])([Si:4]([CH3:5])(Cl)[CH3:7])[CH3:8].[OH:9][CH2:10][CH:11]=[CH2:12]>>[CH3:1][C:2]([CH3:3])([Si:4]([CH3:5])([CH3:7])[O:9][CH2:10][CH:11]=[CH2:12])[CH3:8],[CH2:1]=[CH:2][CH2:3][OH:4].Cl[Si:5]([CH3:6])([CH3:7])[C:8]([CH3:9])([CH3:10])[CH3:11]>>[CH2:1]=[CH:2][CH2:3][O:4][Si:5]([CH3:6])([CH3:7])[C:8]([CH3:9])([CH3:10])[CH3:11],[CH2:1]=[CH:2][CH2:3][OH:4].[CH3:5][C:6]([CH3:8])([CH3:7])[Si:9]([CH3:10])([CH3:11])[Cl:12]>>[CH3:5][C:6]([CH3:8])([CH3:7])[Si:9]([CH3:10])([CH3:11])[O:4][CH2:3][CH:2]=[CH2:1],True,0.4808954182030517,0,golden
192,CCC(=O)Cl.S=C1NC(Cc2ccccc2)CS1>>CCC(=O)N1C(=S)SCC1Cc1ccccc1,[CH3:1][CH2:2][C:3]([Cl:4])=[O:5].[S:6]=[C:7]1[NH:8][CH:9]([CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[CH2:10][S:11]1>>[CH3:1][CH2:2][C:3](=[O:5])[N:8]1[C:7](=[S:6])[S:11][CH2:10][CH:9]1[CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,[CH3:1][CH2:2][C:3](Cl)=[O:5].[S:6]=[C:7]1[NH:8][CH:9]([CH2:12][c:13]2[cH:14][cH:15][cH:16][cH:17][cH:18]2)[CH2:10][S:11]1>>[CH3:1][CH2:2][C:3](=[O:5])[N:8]1[C:7](=[S:6])[S:11][CH2:10][CH:9]1[CH2:12][c:13]1[cH:14][cH:15][cH:16][cH:17][cH:18]1,Cl[C:3]([CH2:2][CH3:1])=[O:4].[NH:5]1[C:6](=[S:7])[S:8][CH2:9][CH:10]1[CH2:11][c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1>>[CH3:1][CH2:2][C:3](=[O:4])[N:5]1[C:6](=[S:7])[S:8][CH2:9][CH:10]1[CH2:11][c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,[CH2:2]([C:3]([Cl:5])=[O:4])[CH3:1].[cH:12]1[cH:13][cH:14][cH:15][cH:16][c:11]1[CH2:10][CH:9]2[CH2:17][S:18][C:7]([NH:8]2)=[S:6]>>[cH:13]1[cH:12][c:11]([cH:16][cH:15][cH:14]1)[CH2:10][CH:9]2[CH2:17][S:18][C:7](=[S:6])[N:8]2[C:3]([CH2:2][CH3:1])=[O:4],True,0.9416187889611578,0,golden
193,CC1(C)OB(B2OC(C)(C)C(C)(C)O2)OC1(C)C.Nc1ccc([N+](=O)[O-])cc1.O=N[O-]>>CC1(C)OB(c2ccc([N+](=O)[O-])cc2)OC1(C)C,[CH3:14][C:15]1([CH3:16])[O:17][B:18]([B:23]2[O:24][C:25]([CH3:30])([CH3:31])[C:26]([CH3:28])([CH3:29])[O:27]2)[O:19][C:20]1([CH3:21])[CH3:22].[NH2:4][c:5]1[cH:6][cH:7][c:8]([N+:11]([O-:12])=[O:13])[cH:9][cH:10]1.[O-:1][N:2]=[O:3]>>[c:5]1([B:18]2[O:17][C:15]([CH3:14])([CH3:16])[C:20]([CH3:21])([CH3:22])[O:19]2)[cH:6][cH:7][c:8]([N+:11]([O-:12])=[O:13])[cH:9][cH:10]1,[CH3:14][C:15]1([CH3:16])[O:17][B:18](B2OC(C)(C)C(C)(C)O2)[O:19][C:20]1([CH3:21])[CH3:22].N[c:5]1[cH:6][cH:7][c:8]([N+:11]([O-:12])=[O:13])[cH:9][cH:10]1.[O-]N=O>>[c:5]1([B:18]2[O:17][C:15]([CH3:14])([CH3:16])[C:20]([CH3:21])([CH3:22])[O:19]2)[cH:6][cH:7][c:8]([N+:11]([O-:12])=[O:13])[cH:9][cH:10]1,CC1(C)OB([B:5]2[O:4][C:2]([CH3:1])([CH3:3])[C:16]([CH3:17])([CH3:18])[O:15]2)OC1(C)C.N[c:6]1[cH:7][cH:8][c:9]([N+:10](=[O:11])[O-:12])[cH:13][cH:14]1.O=N[O-]>>[CH3:1][C:2]1([CH3:3])[O:4][B:5]([c:6]2[cH:7][cH:8][c:9]([N+:10](=[O:11])[O-:12])[cH:13][cH:14]2)[O:15][C:16]1([CH3:17])[CH3:18],[CH3:1][C:2]1([CH3:3])[C:16]([CH3:17])([CH3:18])[O:15][B:5]([O:4]1)[B:6]2[O:14][C:11]([CH3:12])([CH3:13])[C:8]([CH3:9])([CH3:10])[O:7]2.[N:30]([O-:31])=[O:29].[cH:21]1[cH:22][c:23]([cH:27][cH:28][c:20]1[NH2:19])[N+:24](=[O:25])[O-:26]>>[CH3:9][C:8]1([CH3:10])[O:7][B:6]([O:14][C:11]1([CH3:12])[CH3:13])[c:20]2[cH:28][cH:27][c:23]([cH:22][cH:21]2)[N+:24]([O-:26])=[O:25],False,0.1705964356936077,0,golden
194,CC(C)(C)[Si](C)(C)Cl.CC12CCC3C(CC=C4CC(O)CCC43C)C1CCC2=O>>CC12CCC3C(CC=C4CC(O[Si](C)(C)C(C)(C)C)CCC43C)C1CCC2=O,[CH3:22][C:23]([CH3:24])([Si:25]([CH3:26])([Cl:27])[CH3:28])[CH3:29].[CH:1]12[CH2:2][CH2:3][C:4](=[O:21])[C:5]1([CH3:20])[CH2:6][CH2:7][CH:8]1[CH:9]2[CH2:10][CH:11]=[C:12]2[CH2:13][CH:14]([OH:19])[CH2:15][CH2:16][C:17]12[CH3:18]>>[CH:1]12[CH2:2][CH2:3][C:4](=[O:21])[C:5]1([CH3:20])[CH2:6][CH2:7][CH:8]1[CH:9]2[CH2:10][CH:11]=[C:12]2[CH2:13][CH:14]([O:19][Si:25]([C:23]([CH3:22])([CH3:24])[CH3:29])([CH3:26])[CH3:28])[CH2:15][CH2:16][C:17]12[CH3:18],[CH3:22][C:23]([CH3:24])([Si:25]([CH3:26])(Cl)[CH3:28])[CH3:29].[CH:1]12[CH2:2][CH2:3][C:4](=[O:21])[C:5]1([CH3:20])[CH2:6][CH2:7][CH:8]1[CH:9]2[CH2:10][CH:11]=[C:12]2[CH2:13][CH:14]([OH:19])[CH2:15][CH2:16][C:17]12[CH3:18]>>[CH:1]12[CH2:2][CH2:3][C:4](=[O:21])[C:5]1([CH3:20])[CH2:6][CH2:7][CH:8]1[CH:9]2[CH2:10][CH:11]=[C:12]2[CH2:13][CH:14]([O:19][Si:25]([C:23]([CH3:22])([CH3:24])[CH3:29])([CH3:26])[CH3:28])[CH2:15][CH2:16][C:17]12[CH3:18],Cl[Si:13]([CH3:14])([CH3:15])[C:16]([CH3:17])([CH3:18])[CH3:19].[CH3:1][C:2]12[CH2:3][CH2:4][CH:5]3[CH:6]([CH2:7][CH:8]=[C:9]4[CH2:10][CH:11]([OH:12])[CH2:20][CH2:21][C:22]34[CH3:23])[CH:24]1[CH2:25][CH2:26][C:27]2=[O:28]>>[CH3:1][C:2]12[CH2:3][CH2:4][CH:5]3[CH:6]([CH2:7][CH:8]=[C:9]4[CH2:10][CH:11]([O:12][Si:13]([CH3:14])([CH3:15])[C:16]([CH3:17])([CH3:18])[CH3:19])[CH2:20][CH2:21][C:22]34[CH3:23])[CH:24]1[CH2:25][CH2:26][C:27]2=[O:28],[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[Cl:8].[CH3:24][C:23]12[C:17]([CH2:18][CH:19]([CH2:21][CH2:22]1)[OH:20])=[CH:16][CH2:15][CH:14]3[CH:25]4[C:10]([CH3:9])([CH2:11][CH2:12][CH:13]23)[C:28]([CH2:27][CH2:26]4)=[O:29]>>[CH3:1][C:2]([CH3:3])([CH3:4])[Si:5]([CH3:6])([CH3:7])[O:20][CH:19]1[CH2:18][C:17]2=[CH:16][CH2:15][CH:14]3[CH:13]([CH2:12][CH2:11][C:10]4([CH3:9])[CH:25]3[CH2:26][CH2:27][C:28]4=[O:29])[C:23]2([CH2:22][CH2:21]1)[CH3:24],True,0.2883630817135992,0,golden
195,CC(C)(C)OOC(C)(C)C.NCCc1ccccc1.O=Cc1ccccc1>>O=C(NCCc1ccccc1)c1ccccc1,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][O:6][C:7]([CH3:8])([CH3:9])[CH3:10].[CH:11]([c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)=[O:18].[NH2:19][CH2:20][CH2:21][c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1>>[C:11]([c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)(=[O:18])[NH:19][CH2:20][CH2:21][c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1,CC(C)(C)OOC(C)(C)C.[CH:11]([c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)=[O:18].[NH2:19][CH2:20][CH2:21][c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1>>[C:11]([c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1)(=[O:18])[NH:19][CH2:20][CH2:21][c:22]1[cH:23][cH:24][cH:25][cH:26][cH:27]1,CC(C)(C)OOC(C)(C)C.[NH2:3][CH2:4][CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1.[O:1]=[CH:2][c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1>>[O:1]=[C:2]([NH:3][CH2:4][CH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][cH:11]1)[c:12]1[cH:13][cH:14][cH:15][cH:16][cH:17]1,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][O:6][C:7]([CH3:8])([CH3:9])[CH3:10].[cH:16]1[cH:15][c:14]([cH:19][cH:18][cH:17]1)[CH2:13][CH2:12][NH2:11].[cH:23]1[cH:24][cH:25][cH:26][cH:27][c:22]1[CH:21]=[O:20]>>[cH:23]1[cH:24][cH:25][cH:26][cH:27][c:22]1[C:21](=[O:20])[NH:11][CH2:12][CH2:13][c:14]2[cH:19][cH:18][cH:17][cH:16][cH:15]2,False,0.8846864468378398,0,golden
196,Cc1ccc(S(=O)(=O)Cl)cc1.Nc1ccccc1C(=O)O.O=C([O-])[O-]>>Cc1ccc(S(=O)(=O)Nc2ccccc2C(=O)[O-])cc1,[CH3:15][c:16]1[cH:17][cH:18][c:19]([S:20]([Cl:21])(=[O:22])=[O:23])[cH:24][cH:25]1.[NH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][c:11]1[C:12]([OH:13])=[O:14].[O-:1][C:2]([O-:3])=[O:4]>>[NH:5]([c:6]1[cH:7][cH:8][cH:9][cH:10][c:11]1[C:12]([O-:13])=[O:14])[S:20]([c:19]1[cH:18][cH:17][c:16]([CH3:15])[cH:25][cH:24]1)(=[O:22])=[O:23],[CH3:15][c:16]1[cH:17][cH:18][c:19]([S:20](Cl)(=[O:22])=[O:23])[cH:24][cH:25]1.[NH2:5][c:6]1[cH:7][cH:8][cH:9][cH:10][c:11]1[C:12]([OH:13])=[O:14].[O-]C([O-])=O>>[NH:5]([c:6]1[cH:7][cH:8][cH:9][cH:10][c:11]1[C:12]([O-:13])=[O:14])[S:20]([c:19]1[cH:18][cH:17][c:16]([CH3:15])[cH:25][cH:24]1)(=[O:22])=[O:23],Cl[S:6]([c:5]1[cH:4][cH:3][c:2]([CH3:1])[cH:20][cH:19]1)(=[O:7])=[O:8].[NH2:9][c:10]1[cH:11][cH:12][cH:13][cH:14][c:15]1[C:16](=[O:17])[OH:18].O=C([O-])[O-]>>[CH3:1][c:2]1[cH:3][cH:4][c:5]([S:6](=[O:7])(=[O:8])[NH:9][c:10]2[cH:11][cH:12][cH:13][cH:14][c:15]2[C:16](=[O:17])[O-:18])[cH:19][cH:20]1,[O-:24][C:23]([O-:25])=[O:22].[cH:16]1[cH:17][c:18]([c:13]([cH:14][cH:15]1)[NH2:12])[C:19](=[O:21])[OH:20].[cH:3]1[cH:4][c:5]([cH:10][cH:11][c:2]1[CH3:1])[S:6](=[O:8])(=[O:7])[Cl:9]>>[cH:3]1[cH:4][c:5]([cH:10][cH:11][c:2]1[CH3:1])[S:6](=[O:8])(=[O:7])[NH:12][c:13]2[c:18]([cH:17][cH:16][cH:15][cH:14]2)[C:19](=[O:20])[O-:21],True,0.4761235970862619,0,golden
197,C1CCC([N-]C2CCCCC2)CC1.CC(=O)OC(C)(C)C.COc1ccc(Br)cc1>>COc1ccc(CC(=O)OC(C)(C)C)cc1,[CH3:10][C:11]([O:12][C:13]([CH3:14])([CH3:15])[CH3:16])=[O:17].[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([Br:9])[cH:7][cH:8]1.[CH:18]1([N-:24][CH:25]2[CH2:26][CH2:27][CH2:28][CH2:29][CH2:30]2)[CH2:19][CH2:20][CH2:21][CH2:22][CH2:23]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:10][C:11]([O:12][C:13]([CH3:14])([CH3:15])[CH3:16])=[O:17])[cH:7][cH:8]1,[CH3:10][C:11]([O:12][C:13]([CH3:14])([CH3:15])[CH3:16])=[O:17].[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6](Br)[cH:7][cH:8]1.C1([N-]C2CCCCC2)CCCCC1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:10][C:11]([O:12][C:13]([CH3:14])([CH3:15])[CH3:16])=[O:17])[cH:7][cH:8]1,C1CCC([N-]C2CCCCC2)CC1.[CH3:7][C:8](=[O:9])[O:10][C:11]([CH3:12])([CH3:13])[CH3:14].Br[c:6]1[cH:5][cH:4][c:3]([O:2][CH3:1])[cH:16][cH:15]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([CH2:7][C:8](=[O:9])[O:10][C:11]([CH3:12])([CH3:13])[CH3:14])[cH:15][cH:16]1,[CH2:2]1[CH2:3][CH:4]([CH2:12][CH2:13][CH2:1]1)[N-:5][CH:6]2[CH2:11][CH2:10][CH2:9][CH2:8][CH2:7]2.[CH3:19][C:18]([CH3:20])([CH3:21])[O:17][C:15](=[O:16])[CH3:14].[cH:26]1[cH:25][c:24]([cH:30][cH:29][c:27]1[Br:28])[O:23][CH3:22]>>[CH3:19][C:18]([CH3:20])([CH3:21])[O:17][C:15]([CH2:14][c:27]1[cH:26][cH:25][c:24]([cH:30][cH:29]1)[O:23][CH3:22])=[O:16],True,0.3667984329113793,0,golden
198,C1CCC([N-]C2CCCCC2)CC1.COC(=O)C(C)C.Fc1cccc(Br)c1>>COC(=O)C(C)(C)c1cccc(F)c1,[CH3:1][O:2][C:3]([CH:4]([CH3:5])[CH3:6])=[O:7].[CH:16]1([N-:22][CH:23]2[CH2:24][CH2:25][CH2:26][CH2:27][CH2:28]2)[CH2:17][CH2:18][CH2:19][CH2:20][CH2:21]1.[F:8][c:9]1[cH:10][c:11]([Br:12])[cH:13][cH:14][cH:15]1>>[CH3:1][O:2][C:3]([C:4]([CH3:5])([CH3:6])[c:11]1[cH:10][c:9]([F:8])[cH:15][cH:14][cH:13]1)=[O:7],[CH3:1][O:2][C:3]([CH:4]([CH3:5])[CH3:6])=[O:7].C1([N-]C2CCCCC2)CCCCC1.[F:8][c:9]1[cH:10][c:11](Br)[cH:13][cH:14][cH:15]1>>[CH3:1][O:2][C:3]([C:4]([CH3:5])([CH3:6])[c:11]1[cH:10][c:9]([F:8])[cH:15][cH:14][cH:13]1)=[O:7],C1CCC([N-]C2CCCCC2)CC1.[CH3:1][O:2][C:3](=[O:4])[CH:5]([CH3:6])[CH3:7].Br[c:8]1[cH:9][cH:10][cH:11][c:12]([F:13])[cH:14]1>>[CH3:1][O:2][C:3](=[O:4])[C:5]([CH3:6])([CH3:7])[c:8]1[cH:9][cH:10][cH:11][c:12]([F:13])[cH:14]1,[CH2:2]1[CH2:3][CH:4]([CH2:12][CH2:13][CH2:1]1)[N-:5][CH:6]2[CH2:11][CH2:10][CH2:9][CH2:8][CH2:7]2.[CH3:19][CH:18]([CH3:20])[C:16]([O:15][CH3:14])=[O:17].[cH:28]1[c:26]([cH:25][cH:24][cH:23][c:22]1[F:21])[Br:27]>>[CH3:19][C:18]([CH3:20])([C:16](=[O:17])[O:15][CH3:14])[c:26]1[cH:25][cH:24][cH:23][c:22]([F:21])[cH:28]1,True,0.6694572181755473,0,golden
199,C=CCC1(CCC(C)=O)C(=O)CCCC1=O>>C=CCC12CCC(=O)C=C1CCCC2=O,[CH3:1][C:2](=[O:3])[CH2:4][CH2:5][C:6]1([CH2:7][CH:8]=[CH2:9])[C:10](=[O:11])[CH2:12][CH2:13][CH2:14][C:15]1=[O:16]>>[CH:1]1=[C:10]2[C:6]([CH2:7][CH:8]=[CH2:9])([CH2:5][CH2:4][C:2]1=[O:3])[C:15](=[O:16])[CH2:14][CH2:13][CH2:12]2,[CH3:1][C:2](=[O:3])[CH2:4][CH2:5][C:6]1([CH2:7][CH:8]=[CH2:9])[C:15](=[O:16])[CH2:14][CH2:13][CH2:12][C:10]1=O>>[CH:1]1=[C:10]2[C:6]([CH2:7][CH:8]=[CH2:9])([CH2:5][CH2:4][C:2]1=[O:3])[C:15](=[O:16])[CH2:14][CH2:13][CH2:12]2,O=[C:10]1[C:4]([CH2:3][CH:2]=[CH2:1])([CH2:5][CH2:6][C:7](=[O:8])[CH3:9])[C:14](=[O:15])[CH2:13][CH2:12][CH2:11]1>>[CH2:1]=[CH:2][CH2:3][C:4]12[CH2:5][CH2:6][C:7](=[O:8])[CH:9]=[C:10]1[CH2:11][CH2:12][CH2:13][C:14]2=[O:15],[CH2:12]1[C:10](=[O:11])[C:6]([C:15]([CH2:14][CH2:13]1)=[O:16])([CH2:7][CH:8]=[CH2:9])[CH2:5][CH2:4][C:2]([CH3:1])=[O:3]>>[CH2:14]1[CH2:13][CH2:12][C:10]=2[C:6]([CH2:7][CH:8]=[CH2:9])([CH2:5][CH2:4][C:2]([CH:1]=2)=[O:3])[C:15]1=[O:16],True,0.8251193428844988,0,golden
200,C=CCBr.CC(C)[N-]C(C)C.O=C1OC(C(Cl)(Cl)Cl)N2CCCC12>>C=CCC12CCCN1C(C(Cl)(Cl)Cl)OC2=O,[Br:21][CH2:22][CH:23]=[CH2:24].[CH3:1][CH:2]([CH3:3])[N-:4][CH:5]([CH3:6])[CH3:7].[CH:8]12[CH2:9][CH2:10][CH2:11][N:12]1[CH:13]([C:14]([Cl:15])([Cl:16])[Cl:17])[O:18][C:19]2=[O:20]>>[C:8]12([CH2:22][CH:23]=[CH2:24])[CH2:9][CH2:10][CH2:11][N:12]1[CH:13]([C:14]([Cl:15])([Cl:16])[Cl:17])[O:18][C:19]2=[O:20],Br[CH2:22][CH:23]=[CH2:24].CC(C)[N-]C(C)C.[CH:8]12[CH2:9][CH2:10][CH2:11][N:12]1[CH:13]([C:14]([Cl:15])([Cl:16])[Cl:17])[O:18][C:19]2=[O:20]>>[C:8]12([CH2:22][CH:23]=[CH2:24])[CH2:9][CH2:10][CH2:11][N:12]1[CH:13]([C:14]([Cl:15])([Cl:16])[Cl:17])[O:18][C:19]2=[O:20],Br[CH2:3][CH:2]=[CH2:1].CC(C)[N-]C(C)C.[CH:4]12[CH2:5][CH2:6][CH2:7][N:8]1[CH:9]([C:10]([Cl:11])([Cl:12])[Cl:13])[O:14][C:15]2=[O:16]>>[CH2:1]=[CH:2][CH2:3][C:4]12[CH2:5][CH2:6][CH2:7][N:8]1[CH:9]([C:10]([Cl:11])([Cl:12])[Cl:13])[O:14][C:15]2=[O:16],[CH2:1]=[CH:2][CH2:3][Br:4].[CH3:5][CH:6]([CH3:7])[N-:8][CH:9]([CH3:10])[CH3:11].[Cl:17][C:16]([Cl:18])([Cl:19])[CH:15]1[O:14][C:13]([CH:24]2[CH2:23][CH2:22][CH2:21][N:20]12)=[O:12]>>[Cl:17][C:16]([Cl:18])([Cl:19])[CH:15]1[N:20]2[CH2:21][CH2:22][CH2:23][C:24]2([CH2:3][CH:2]=[CH2:1])[C:13]([O:14]1)=[O:12],True,0.3746687636497153,0,golden
201,CCOC(O)C(Cl)(Cl)Cl.O=C(O)C1CCCN1>>O=C1OC(C(Cl)(Cl)Cl)N2CCCC12,[CH:1]1([C:2]([OH:3])=[O:4])[CH2:5][CH2:6][CH2:7][NH:8]1.[OH:9][CH:10]([O:11][CH2:12][CH3:13])[C:14]([Cl:15])([Cl:16])[Cl:17]>>[CH:1]12[C:2](=[O:4])[O:9][CH:10]([C:14]([Cl:15])([Cl:16])[Cl:17])[N:8]1[CH2:7][CH2:6][CH2:5]2,[CH:1]1([C:2](O)=[O:4])[CH2:5][CH2:6][CH2:7][NH:8]1.[OH:9][CH:10](OCC)[C:14]([Cl:15])([Cl:16])[Cl:17]>>[CH:1]12[C:2](=[O:4])[O:9][CH:10]([C:14]([Cl:15])([Cl:16])[Cl:17])[N:8]1[CH2:7][CH2:6][CH2:5]2,CCO[CH:4]([OH:3])[C:5]([Cl:6])([Cl:7])[Cl:8].O[C:2](=[O:1])[CH:13]1[NH:9][CH2:10][CH2:11][CH2:12]1>>[O:1]=[C:2]1[O:3][CH:4]([C:5]([Cl:6])([Cl:7])[Cl:8])[N:9]2[CH2:10][CH2:11][CH2:12][CH:13]12,[CH:13]1([C:11](=[O:12])[OH:10])[CH2:14][CH2:15][CH2:16][NH:17]1.[Cl:7][C:6]([Cl:8])([Cl:9])[CH:4]([OH:5])[O:3][CH2:2][CH3:1]>>[Cl:7][C:6]([Cl:8])([Cl:9])[CH:4]1[O:5][C:11]([CH:13]2[CH2:14][CH2:15][CH2:16][N:17]12)=[O:12],False,0.1264968121208207,0,golden
202,BrBr.O=C1OCc2ccccc21>>O=C1OC(Br)c2ccccc21,[Br:1][Br:2].[O:3]=[C:4]1[O:5][CH2:6][c:7]2[c:8]1[cH:9][cH:10][cH:11][cH:12]2>>[Br:2][CH:6]1[O:5][C:4](=[O:3])[c:8]2[c:7]1[cH:12][cH:11][cH:10][cH:9]2,[Br:2]Br.[O:3]=[C:4]1[O:5][CH2:6][c:7]2[c:8]1[cH:9][cH:10][cH:11][cH:12]2>>[Br:2][CH:6]1[O:5][C:4](=[O:3])[c:8]2[c:7]1[cH:12][cH:11][cH:10][cH:9]2,Br[Br:5].[O:1]=[C:2]1[O:3][CH2:4][c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]21>>[O:1]=[C:2]1[O:3][CH:4]([Br:5])[c:6]2[cH:7][cH:8][cH:9][cH:10][c:11]21,[Br:1][Br:2].[cH:11]1[cH:10][cH:9][cH:8][c:7]2[c:12]1[C:4](=[O:3])[O:5][CH2:6]2>>[c:7]12[c:12]([cH:11][cH:10][cH:9][cH:8]1)[C:4]([O:5][CH:6]2[Br:2])=[O:3],True,0.5232366857614257,0,golden
