reaction,mapped_reaction
C/C(C1=CC=CN=C1)=N\O.BrCC2=CC=CC=C2.[H-]>>C/C(C3=CC=CN=C3)=N\OCC4=CC=CC=C4.[H][H].[Br-],[#6:1]\[#6:2](=[#7:9]/[#8:10])-[#6:3]-1=[#6:4]-[#6:5]=[#6:6]-[#7:7]=[#6:8]-1.[Br:11][#6:12]-[#6:13]-1=[#6:14]-[#6:15]=[#6:16]-[#6:17]=[#6:18]-1>>[#6:1]\[#6:2](=[#7:9]/[#8:10]-[#6:12]-[#6:13]-1=[#6:18]-[#6:17]=[#6:16]-[#6:15]=[#6:14]-1)-[#6:3]-1=[#6:4]-[#6:5]=[#6:6]-[#7:7]=[#6:8]-1.[Br-:11]
CC(C)([Si](C)(Cl)C)C.OCC=C.C1=NC=CN1>>CC(C)([Si](C)(OCC=C)C)C.[Cl-].C2=[NH+]C=CN2,[#6:1][C:2]([#6:3])([#6:8])[Si:4]([#6:5])([#6:7])[Cl:6].[#8:9]-[#6:10]-[#6:11]=[#6:12].[#7:17]-1-[#6:16]=[#6:15]-[#7:14]=[#6:13]-1>>[#6:8][C:2]([#6:3])([#6:1])[Si:4]([#6:7])([#6:5])[#8:9]-[#6:10]-[#6:11]=[#6:12].[Cl-:6].[#7:17]-1-[#6:16]=[#6:15]-[#7+:14]=[#6:13]-1
CCC(Cl)=O.S=C1N[C@H](CS1)CC2=CC=CC=C2.C3=CC=CN=C3>>CCC(N4[C@H](CSC4=S)CC5=CC=CC=C5)=O.[Cl-].C6=CC=C[NH+]=C6,[#6:1]-[#6:2]-[#6:3]([Cl:4])=[O:5].[S:6]=[#6:7]-1-[#7:8]-[#6@@H:9](-[#6:12]-[#6:13]-2=[#6:14]-[#6:15]=[#6:16]-[#6:17]=[#6:18]-2)-[#6:10]-[#16:11]-1.[#6:20]-1=[#6:19]-[#6:24]=[#7:23]-[#6:22]=[#6:21]-1>>[#6:1]-[#6:2]-[#6:3](=[O:5])-[#7:8]-1-[#6@@H:9](-[#6:12]-[#6:13]-2=[#6:18]-[#6:17]=[#6:16]-[#6:15]=[#6:14]-2)-[#6:10]-[#16:11]-[#6:7]-1=[S:6].[Cl-:4].[#6:20]-1=[#6:19]-[#6:24]=[#7+:23]-[#6:22]=[#6:21]-1
O=N[O-].NC1=CC=C(C=C1)N(=O)=O.CC2(C)OB(OC2(C)C)B3OC(C(O3)(C)C)(C)C>>CC4(C)OB(OC4(C)C)C5=CC=C(C=C5)N(=O)=O.CC6(C)OB(OC6(C)C)O.N#N.[OH-],[#8-:3]-[#7:2]=[O:1].[#7:4]-[#6:5]-1=[#6:6]-[#6:7]=[#6:8](-[#6:9]=[#6:10]-1)[N:11](=[O:12])=[O:13].[#6:14][C:15]1([#6:16])[#8:17]-[#5:18](-[#8:19][C:20]1([#6:21])[#6:22])-[#5:23]-1-[#8:27][C:26]([#6:28])([#6:29])[C:25]([#6:30])([#6:31])[#8:24]-1>>[#6:22][C:20]1([#6:21])[#8:19]-[#5:18](-[#8:17][C:15]1([#6:16])[#6:14])-[#6:5]-1=[#6:6]-[#6:7]=[#6:8](-[#6:9]=[#6:10]-1)[N:11](=[O:12])=[O:13].[#6:30][C:25]1([#6:31])[#8:24]-[#5:23](-[#8:1])-[#8:27][C:26]1([#6:28])[#6:29].[N:4]#[N:2].[#8-:3]
[H][C@@]12CCC([C@]1(CC[C@]3([C@]2(CC=C4C[C@H](CC[C@]34C)O)[H])[H])C)=O.CC(C)([Si](C)(Cl)C)C.C5=NC=CN5>>[H][C@@]67CCC([C@]6(CC[C@]8([C@]7(CC=C9C[C@@H](O[Si](C)(C(C)(C)C)C)CC[C@]89C)[H])[H])C)=O.[Cl-].C1=[NH+]C=CN1,[#6:20][C@:5]12[#6:6]-[#6:7]-[#6@H:8]3-[#6@@H:9](-[#6:10]-[#6:11]=[#6:12]4-[#6:13]-[#6@@H:14](-[#8:19])-[#6:15]-[#6:16][C@:17]34[#6:18])-[#6@@H:1]1-[#6:2]-[#6:3]-[#6:4]2=[O:21].[#6:22][C:23]([#6:24])([#6:29])[Si:25]([#6:26])([#6:28])[Cl:27].[#7:34]-1-[#6:33]=[#6:32]-[#7:31]=[#6:30]-1>>[#6:24][C:23]([#6:22])([#6:29])[Si:25]([#6:26])([#6:28])[#8:19]-[#6@H:14]-1-[#6:15]-[#6:16][C@:17]2([#6:18])[#6@H:8]-3-[#6:7]-[#6:6][C@@:5]4([#6:20])[#6@@H:1](-[#6:2]-[#6:3]-[#6:4]4=[O:21])-[#6@@H:9]-3-[#6:10]-[#6:11]=[#6:12]2-[#6:13]-1.[Cl-:27].[#7:34]-1-[#6:33]=[#6:32]-[#7+:31]=[#6:30]-1
CC(C)(C)OOC(C)(C)C.[H]C(C1=CC=CC=C1)=O.NCCC2=CC=CC=C2>>O=C(C3=CC=CC=C3)NCCC4=CC=CC=C4.OC(C)(C)C.OC(C)(C)C,[#6:1][C:2]([#6:3])([#6:4])[#8:5]-[#8:6][C:7]([#6:8])([#6:9])[#6:10].[O:18]=[#6:11]-[#6:12]-1=[#6:13]-[#6:14]=[#6:15]-[#6:16]=[#6:17]-1.[#7:19]-[#6:20]-[#6:21]-[#6:22]-1=[#6:23]-[#6:24]=[#6:25]-[#6:26]=[#6:27]-1>>[O:18]=[#6:11](-[#7:19]-[#6:20]-[#6:21]-[#6:22]-1=[#6:27]-[#6:26]=[#6:25]-[#6:24]=[#6:23]-1)-[#6:12]-1=[#6:17]-[#6:16]=[#6:15]-[#6:14]=[#6:13]-1.[#6:4][C:2]([#6:3])([#6:1])[#8:5].[#6:9][C:7]([#6:8])([#6:10])[#8:6]
[O-]C([O-])=O.NC1=CC=CC=C1C(O)=O.CC2=CC=C(S(Cl)(=O)=O)C=C2>>CC3=CC=C(S(=O)(NC4=C(C([O-])=O)C=CC=C4)=O)C=C3.O=C=O.[Cl-].O,[#8-:1]-[#6:2](-[#8-:3])=[O:4].[#7:5]-[#6:6]-1=[#6:7]-[#6:8]=[#6:9]-[#6:10]=[#6:11]-1-[#6:12](-[#8:13])=[O:14].[#6:15]-[#6:16]-1=[#6:17]-[#6:18]=[#6:19](-[#6:24]=[#6:25]-1)[S:20]([Cl:21])(=[O:22])=[O:23]>>[#6:15]-[#6:16]-1=[#6:17]-[#6:18]=[#6:19](-[#6:24]=[#6:25]-1)[S:20](=[O:22])(=[O:23])[#7:5]-[#6:6]-1=[#6:11](-[#6:10]=[#6:9]-[#6:8]=[#6:7]-1)-[#6:12](-[#8-:13])=[O:14].[O:3]=[C:2]=[O:4].[Cl-:21].[#8:1]
COC1=CC=C(C=C1)Br.CC(OC(C)(C)C)=O.C2(CCCCC2)[N-]C3CCCCC3>>COC4=CC=C(C=C4)CC(OC(C)(C)C)=O.C5(CCCCC5)NC6CCCCC6.[Br-],[#6:1]-[#8:2]-[#6:3]-1=[#6:4]-[#6:5]=[#6:6]([Br:9])-[#6:7]=[#6:8]-1.[#6:10]-[#6:11](=[O:17])-[#8:12][C:13]([#6:14])([#6:15])[#6:16].[#6:21]-1-[#6:20]-[#6:19]-[#6:18](-[#6:23]-[#6:22]-1)-[#7-:24]-[#6:25]-1-[#6:26]-[#6:27]-[#6:28]-[#6:29]-[#6:30]-1>>[#6:1]-[#8:2]-[#6:3]-1=[#6:4]-[#6:5]=[#6:6](-[#6:10]-[#6:11](=[O:17])-[#8:12][C:13]([#6:16])([#6:15])[#6:14])-[#6:7]=[#6:8]-1.[#6:28]-1-[#6:29]-[#6:30]-[#6:25](-[#6:26]-[#6:27]-1)-[#7:24]-[#6:18]-1-[#6:23]-[#6:22]-[#6:21]-[#6:20]-[#6:19]-1.[Br-:9]
COC(C(C)C)=O.FC1=CC(Br)=CC=C1.C2(CCCCC2)[N-]C3CCCCC3>>COC(C(C)(C4=CC(F)=CC=C4)C)=O.C5(CCCCC5)NC6CCCCC6.[Br-],[#6:1]-[#8:2]-[#6:3](=[O:7])-[#6:4](-[#6:5])-[#6:6].[F:8][#6:9]-1=[#6:10]-[#6:11]([Br:12])=[#6:13]-[#6:14]=[#6:15]-1.[#6:19]-1-[#6:18]-[#6:17]-[#6:16](-[#6:21]-[#6:20]-1)-[#7-:22]-[#6:23]-1-[#6:24]-[#6:25]-[#6:26]-[#6:27]-[#6:28]-1>>[#6:1]-[#8:2]-[#6:3](=[O:7])[C:4]([#6:6])([#6:5])[#6:11]-1=[#6:10]-[#6:9]([F:8])=[#6:15]-[#6:14]=[#6:13]-1.[#6:26]-1-[#6:27]-[#6:28]-[#6:23](-[#6:24]-[#6:25]-1)-[#7:22]-[#6:16]-1-[#6:21]-[#6:20]-[#6:19]-[#6:18]-[#6:17]-1.[Br-:12]
CC(=O)CCC1(CC=C)C(=O)CCCC1=O>>C=CC[C@]12CCC(=O)C=C1CCCC2=O.O,[#6:1]-[#6:2](=[O:3])-[#6:4]-[#6:5][C:6]1([#6:7]-[#6:8]=[#6:9])[#6:10](=[O:11])-[#6:12]-[#6:13]-[#6:14]-[#6:15]1=[O:16]>>[#6:9]=[#6:8]-[#6:7][C@:6]12[#6:5]-[#6:4]-[#6:2](=[O:3])-[#6:1]=[#6:10]1-[#6:12]-[#6:13]-[#6:14]-[#6:15]2=[O:16].[#8:11]
CC(C)[N-]C(C)C.[H][C@@]12CCCN1[C@@H](C(Cl)(Cl)Cl)OC2=O.BrCC=C>>ClC(Cl)([C@H]3OC([C@@]4(CCCN34)CC=C)=O)Cl.CC(C)NC(C)C.[Br-],[CH3:1][CH:2]([CH3:3])[N-:4][CH:5]([CH3:6])[CH3:7].[Cl:15][C:14]([Cl:16])([Cl:17])[C@H:13]1[O:18][C:19](=[O:20])[C@@H:8]2[CH2:9][CH2:10][CH2:11][N:12]12.[Br:21][CH2:22][CH:23]=[CH2:24]>>[Cl:17][C:14]([Cl:16])([Cl:15])[C@H:13]1[O:18][C:19](=[O:20])[C@:8]2([CH2:22][CH:23]=[CH2:24])[CH2:9][CH2:10][CH2:11][N:12]12.[CH3:1][CH:2]([CH3:3])[NH:4][CH:5]([CH3:6])[CH3:7].[Br-:21]
[H][C@@]1(C(O)=O)CCCN1.OC(OCC)C(Cl)(Cl)Cl>>[H][C@@]23CCCN2[C@@H](C(Cl)(Cl)Cl)OC3=O.CCO.O,[#8:3]-[#6:2](=[O:4])-[#6@@H:1]-1-[#6:5]-[#6:6]-[#6:7]-[#7:8]-1.[#6:13]-[#6:12]-[#8:11]-[#6:10](-[#8:9])[C:14]([Cl:15])([Cl:16])[Cl:17]>>[Cl:16][C:14]([Cl:15])([Cl:17])[#6@H:10]-1-[#8:9]-[#6:2](=[O:4])-[#6@@H:1]-2-[#6:5]-[#6:6]-[#6:7]-[#7:8]-1-2.[#6:13]-[#6:12]-[#8:11].[#8:3]
BrBr.O=C1OCC2=C1C=CC=C2>>BrC3OC(C4=CC=CC=C34)=O.[H]Br,[Br:1][Br:2].[O:3]=[#6:4]-1-[#8:5]-[#6:6]-[#6:7]-2=[#6:8]-1-[#6:9]=[#6:10]-[#6:11]=[#6:12]-2>>[Br:2][#6:6]-1-[#8:5]-[#6:4](=[O:3])-[#6:8]-2=[#6:9]-[#6:10]=[#6:11]-[#6:12]=[#6:7]-1-2.[Br:1]
CCNCC.CCNCC.COC1=CC(C(Cl)=O)=CC(OC)=C1OC>>COC2=CC(C(N(CC)CC)=O)=CC(OC)=C2OC.CC[NH2+]CC.[Cl-],[#6:1]-[#6:2]-[#7:3]-[#6:4]-[#6:5].[#6:6]-[#6:7]-[#7:8]-[#6:9]-[#6:10].[#6:11]-[#8:12]-[#6:13]-1=[#6:14]-[#6:15](=[#6:19]-[#6:20](-[#8:21]-[#6:22])=[#6:23]-1-[#8:24]-[#6:25])-[#6:16]([Cl:17])=[O:18]>>[#6:10]-[#6:9]-[#7:8](-[#6:7]-[#6:6])-[#6:16](=[O:18])-[#6:15]-1=[#6:14]-[#6:13](-[#8:12]-[#6:11])=[#6:23](-[#8:24]-[#6:25])-[#6:20](-[#8:21]-[#6:22])=[#6:19]-1.[#6:5]-[#6:4]-[#7+:3]-[#6:2]-[#6:1].[Cl-:17]
CC(OC(C)(C)C)=O.FC1=CC=C(C=C1)Br.C2(CCCCC2)[N-]C3CCCCC3>>CC(C)(OC(CC4=CC=C(C=C4)F)=O)C.C5(CCCCC5)NC6CCCCC6.[Br-],[#6:1]-[#6:2](=[O:8])-[#8:3][C:4]([#6:5])([#6:6])[#6:7].[F:9][#6:10]-1=[#6:11]-[#6:12]=[#6:13]([Br:16])-[#6:14]=[#6:15]-1.[#6:20]-1-[#6:19]-[#6:18]-[#6:17](-[#6:22]-[#6:21]-1)-[#7-:23]-[#6:24]-1-[#6:25]-[#6:26]-[#6:27]-[#6:28]-[#6:29]-1>>[#6:6][C:4]([#6:5])([#6:7])[#8:3]-[#6:2](=[O:8])-[#6:1]-[#6:13]-1=[#6:14]-[#6:15]=[#6:10]([F:9])-[#6:11]=[#6:12]-1.[#6:27]-1-[#6:28]-[#6:29]-[#6:24](-[#6:25]-[#6:26]-1)-[#7:23]-[#6:17]-1-[#6:22]-[#6:21]-[#6:20]-[#6:19]-[#6:18]-1.[Br-:16]
BrBr.CC(/C=C/C1=CC=CC=C1)=O>>BrC(C(C2=CC=CC=C2)Br)C(C)=O,[Br:1][Br:2].[#6:3]-[#6:4](=[O:13])\[#6:5]=[#6:6]\[#6:7]-1=[#6:8]-[#6:9]=[#6:10]-[#6:11]=[#6:12]1>>[#6:3]-[#6:4](=[O:13])-[#6:5]([Br:2])-[#6:6]([Br:1])-[#6:7]-1=[#6:8]-[#6:9]=[#6:10]-[#6:11]=[#6:12]-1
ClC1=CC=C(C=C1)Br.COC(C(C)C)=O.C2(CCCCC2)[N-]C3CCCCC3>>COC(C(C)(C4=CC=C(C=C4)Cl)C)=O.C5(CCCCC5)NC6CCCCC6.[Br-],[Cl:1][#6:2]-1=[#6:3]-[#6:4]=[#6:5]([Br:8])-[#6:6]=[#6:7]-1.[#6:9]-[#8:10]-[#6:11](=[O:15])-[#6:12](-[#6:13])-[#6:14].[#6:19]-1-[#6:18]-[#6:17]-[#6:16](-[#6:21]-[#6:20]-1)-[#7-:22]-[#6:23]-1-[#6:24]-[#6:25]-[#6:26]-[#6:27]-[#6:28]-1>>[#6:9]-[#8:10]-[#6:11](=[O:15])[C:12]([#6:14])([#6:13])[#6:5]-1=[#6:6]-[#6:7]=[#6:2]([Cl:1])-[#6:3]=[#6:4]-1.[#6:26]-1-[#6:27]-[#6:28]-[#6:23](-[#6:24]-[#6:25]-1)-[#7:22]-[#6:16]-1-[#6:21]-[#6:20]-[#6:19]-[#6:18]-[#6:17]-1.[Br-:8]
COC(C1=CC=C(N(C(CCl)=O)C2CCN(C(OCC3=CC=CC=C3)=O)CC2)C=C1)=O.CCN(CC)CC>>COC(C4=CC=C(N(C(C5)=O)C6CCN(C(OCC7=CC=CC=C7)=O)CC6)C5=C4)=O.CC[NH+](CC)CC.[Cl-],[#6:1]-[#8:2]-[#6:3](=[O:31])-[#6:4]-1=[#6:5]-[#6:6]=[#6:7](-[#6:29]=[#6:30]-1)-[#7:8](-[#6:13]-1-[#6:14]-[#6:15]-[#7:16](-[#6:27]-[#6:28]-1)-[#6:17](=[O:26])-[#8:18]-[#6:19]-[#6:20]-1=[#6:21]-[#6:22]=[#6:23]-[#6:24]=[#6:25]-1)-[#6:9](=[O:12])-[#6:10][Cl:11].[#6:32]-[#6:33]-[#7:34](-[#6:35]-[#6:36])-[#6:37]-[#6:38]>>[#6:1]-[#8:2]-[#6:3](=[O:31])-[#6:4]-1=[#6:30]-[#6:29]=[#6:7]-2-[#7:8](-[#6:13]-3-[#6:14]-[#6:15]-[#7:16](-[#6:27]-[#6:28]-3)-[#6:17](=[O:26])-[#8:18]-[#6:19]-[#6:20]-3=[#6:21]-[#6:22]=[#6:23]-[#6:24]=[#6:25]-3)-[#6:9](=[O:12])-[#6:10]-[#6:6]-2=[#6:5]-1.[#6:38]-[#6:37]-[#7+:34](-[#6:35]-[#6:36])-[#6:33]-[#6:32].[Cl-:11]
COC1=CC=C(C=C1)Br.COC(C(C)C)=O.C2(CCCCC2)[N-]C3CCCCC3>>COC(C(C)(C4=CC=C(C=C4)OC)C)=O.C5(CCCCC5)NC6CCCCC6.[Br-],[#6:1]-[#8:2]-[#6:3]-1=[#6:4]-[#6:5]=[#6:6]([Br:9])-[#6:7]=[#6:8]-1.[#6:10]-[#8:11]-[#6:12](=[O:16])-[#6:13](-[#6:14])-[#6:15].[#6:20]-1-[#6:19]-[#6:18]-[#6:17](-[#6:22]-[#6:21]-1)-[#7-:23]-[#6:24]-1-[#6:25]-[#6:26]-[#6:27]-[#6:28]-[#6:29]-1>>[#6:10]-[#8:11]-[#6:12](=[O:16])[C:13]([#6:14])([#6:15])[#6:6]-1=[#6:5]-[#6:4]=[#6:3](-[#8:2]-[#6:1])-[#6:8]=[#6:7]-1.[#6:27]-1-[#6:28]-[#6:29]-[#6:24](-[#6:25]-[#6:26]-1)-[#7:23]-[#6:17]-1-[#6:22]-[#6:21]-[#6:20]-[#6:19]-[#6:18]-1.[Br-:9]
C=CC#N.OCC1=CC=CC=C1>>C=CC(=O)NCC1=CC=CC=C1,[CH2:1]=[CH:2][C:3]#[N:4].[OH:5][CH2:6][C:7]1=[CH:8][CH:9]=[CH:10][CH:11]=[CH:12]1>>[CH2:1]=[CH:2][C:3](=[O:5])[NH:4][CH2:6][C:7]1=[CH:8][CH:9]=[CH:10][CH:11]=[CH:12]1
ClP(Cl)(Cl)(Cl)Cl.NC(CC#N)=O>>N#CCC#N.ClP(Cl)(Cl)=O.[H]Cl.[H]Cl,[Cl:1][P:2]([Cl:3])([Cl:4])([Cl:5])[Cl:6].[NH2:7][C:8](=[O:12])[CH2:9][C:10]#[N:11]>>[N:11]#[C:10][CH2:9][C:8]#[N:7].[Cl:3][P:2]([Cl:4])([Cl:1])=[O:12].[ClH:6].[ClH:5]
O=C1CCCCCCC1.CCOC(OCC)=O.[H-]>>CCOC(/C2=C([O-])/CCCCCC2)=O.CCO.[H][H],[O:1]=[#6:2]-1-[#6:3]-[#6:4]-[#6:5]-[#6:6]-[#6:7]-[#6:8]-[#6:9]-1.[#6:10]-[#6:11]-[#8:12]-[#6:13](=[O:17])-[#8:14]-[#6:15]-[#6:16]>>[#6:16]-[#6:15]-[#8:14]-[#6:13](=[O:17])-[#6:9]-1=[#6:2](-[#8-:1])/[#6:3]-[#6:4]-[#6:5]-[#6:6]-[#6:7]-[#6:8]\1.[#6:10]-[#6:11]-[#8:12]
CC(CCC1(C(CCCC1=O)=O)CC2=CC=CC=C2)=O>>O=C(C=C3CCCC4=O)CC[C@@]34CC5=CC=CC=C5.O,[#6:1]-[#6:2](=[O:20])-[#6:3]-[#6:4][C:5]1([#6:13]-[#6:14]-2=[#6:15]-[#6:16]=[#6:17]-[#6:18]=[#6:19]-2)[#6:10](=[O:11])-[#6:9]-[#6:8]-[#6:7]-[#6:6]1=[O:12]>>[O:20]=[#6:2]-1-[#6:3]-[#6:4][C@:5]2([#6:13]-[#6:14]-3=[#6:19]-[#6:18]=[#6:17]-[#6:16]=[#6:15]-3)[#6:10](=[O:11])-[#6:9]-[#6:8]-[#6:7]-[#6:6]2=[#6:1]-1.[#8:12]
CC(OC(C)(C)C)=O.CC(C)(C1=CC=C(C=C1)Br)C.C2(CCCCC2)[N-]C3CCCCC3>>CC(C)(OC(CC4=CC=C(C(C)(C)C)C=C4)=O)C.C5(CCCCC5)NC6CCCCC6.[Br-],[#6:1]-[#6:2](=[O:8])-[#8:3][C:4]([#6:5])([#6:6])[#6:7].[#6:9][C:10]([#6:11])([#6:19])[#6:12]-1=[#6:13]-[#6:14]=[#6:15]([Br:18])-[#6:16]=[#6:17]-1.[#6:23]-1-[#6:22]-[#6:21]-[#6:20](-[#6:25]-[#6:24]-1)-[#7-:26]-[#6:27]-1-[#6:28]-[#6:29]-[#6:30]-[#6:31]-[#6:32]-1>>[#6:7][C:4]([#6:6])([#6:5])[#8:3]-[#6:2](=[O:8])-[#6:1]-[#6:15]-1=[#6:14]-[#6:13]=[#6:12](-[#6:17]=[#6:16]-1)[C:10]([#6:11])([#6:9])[#6:19].[#6:30]-1-[#6:31]-[#6:32]-[#6:27](-[#6:28]-[#6:29]-1)-[#7:26]-[#6:20]-1-[#6:25]-[#6:24]-[#6:23]-[#6:22]-[#6:21]-1.[Br-:18]
CS(=O)(Cl)=O.CCN(CC)CC.CC(C)([C@H](NC(C1=C(C=CC=C1)Br)=O)CO)C>>CC(C)([C@H]2COC(C3=C(C=CC=C3)Br)=N2)C.CS(=O)(O)=O.CC[NH+](CC)CC.[Cl-],[CH3:1][S:2]([Cl:4])(=[O:3])=[O:5].[CH3:6][CH2:7][N:8]([CH2:9][CH3:10])[CH2:11][CH3:12].[CH3:13][C:14]([CH3:15])([CH3:29])[C@@H:16]([CH2:27][OH:28])[NH:17][C:18](=[O:26])[C:19]1=[C:20]([Br:25])[CH:21]=[CH:22][CH:23]=[CH:24]1>>[CH3:29][C:14]([CH3:15])([CH3:13])[C@H:16]1[CH2:27][O:26][C:18](=[N:17]1)[C:19]1=[C:20]([Br:25])[CH:21]=[CH:22][CH:23]=[CH:24]1.[CH3:1][S:2]([OH:28])(=[O:5])=[O:3].[CH3:6][CH2:7][NH+:8]([CH2:11][CH3:12])[CH2:9][CH3:10].[Cl-:4]
