reaction,mapped_reaction
CNC(=O)c1oc(CSCCN)cc1-c1ccccc1>>CNCc1oc(CSCCN)cc1-c1ccccc1,[CH3:1][NH:2][C:3](=[O:4])[c:5]1[o:6][c:7]([CH2:8][S:9][CH2:10][CH2:11][NH2:12])[cH:13][c:14]1-[c:15]1[cH:16][cH:17][cH:18][cH:19][cH:20]1>>[CH3:1][NH:2][CH2:3][c:5]1[o:6][c:7]([CH2:8][S:9][CH2:10][CH2:11][NH2:12])[cH:13][c:14]1-[c:15]1[cH:20][cH:19][cH:18][cH:17][cH:16]1.[O:4]
CC(=O)Cn1nc(cc1C)[N+]([O-])=O>>CC(O)Cn1nc(cc1C)[N+]([O-])=O,[CH3:1][C:2](=[O:3])[CH2:4][n:5]1[n:6][c:7]([cH:8][c:9]1[CH3:10])[N+:11]([O-:12])=[O:13]>>[CH3:1][CH:2]([OH:3])[CH2:4][n:5]1[n:6][c:7]([cH:8][c:9]1[CH3:10])[N+:11]([O-:12])=[O:13]
CCOc1cc(ccc1OC)C(O)c1ccc(OC)c(C)c1>>CCOc1cc(ccc1OC)C(=O)c1ccc(OC)c(C)c1,[CH3:1][CH2:2][O:3][c:4]1[cH:5][c:6]([cH:7][cH:8][c:9]1[O:10][CH3:11])[CH:12]([OH:13])[c:14]1[cH:15][cH:16][c:17]([O:18][CH3:19])[c:20]([CH3:21])[cH:22]1>>[CH3:1][CH2:2][O:3][c:4]1[cH:5][c:6]([cH:7][cH:8][c:9]1[O:10][CH3:11])[C:12](=[O:13])[c:14]1[cH:15][cH:16][c:17]([O:18][CH3:19])[c:20]([CH3:21])[cH:22]1
CC(OC(C)=O)c1nccc(n1)N1CCc2ccc(cc2C1)S(=O)(=O)N(C)C>>CC(O)c1nccc(n1)N1CCc2ccc(cc2C1)S(=O)(=O)N(C)C,[CH3:1][CH:2]([O:3][C:4]([CH3:5])=[O:6])[c:7]1[n:8][cH:9][cH:10][c:11]([n:12]1)[N:13]1[CH2:14][CH2:15][c:16]2[cH:17][cH:18][c:19]([cH:20][c:21]2[CH2:22]1)[S:23](=[O:24])(=[O:25])[N:26]([CH3:27])[CH3:28]>>[CH3:1][CH:2]([OH:3])[c:7]1[n:8][cH:9][cH:10][c:11]([n:12]1)[N:13]1[CH2:14][CH2:15][c:16]2[cH:17][cH:18][c:19]([cH:20][c:21]2[CH2:22]1)[S:23](=[O:24])(=[O:25])[N:26]([CH3:28])[CH3:27].[C:4].[C:5].[O:6]
CC(C)(C)C(=O)C(=Cc1ccc(Cl)cc1Cl)n1cncn1>>CC(C)(C)C(O)C(=Cc1ccc(Cl)cc1Cl)n1cncn1,[CH3:1][C:2]([CH3:3])([CH3:4])[C:5](=[O:6])[C:7](=[CH:8][c:9]1[cH:10][cH:11][c:12]([Cl:13])[cH:14][c:15]1[Cl:16])[n:17]1[cH:18][n:19][cH:20][n:21]1>>[CH3:1][C:2]([CH3:4])([CH3:3])[CH:5]([OH:6])[C:7](=[CH:8][c:9]1[cH:10][cH:11][c:12]([Cl:13])[cH:14][c:15]1[Cl:16])[n:17]1[cH:18][n:19][cH:20][n:21]1
CCOC(=O)c1ccccc1CCc1ccc2oc(cc2c1)-c1nc(cs1)C(C)(C)C.O>>CC(C)(C)c1csc(n1)-c1cc2cc(CCc3ccccc3C(O)=O)ccc2o1,[CH3:2][CH2:3][O:4][C:5](=[O:6])[c:7]1[cH:8][cH:9][cH:10][cH:11][c:12]1[CH2:13][CH2:14][c:15]1[cH:16][cH:17][c:18]2[o:19][c:20]([cH:21][c:22]2[cH:23]1)-[c:24]1[n:25][c:26]([cH:27][s:28]1)[C:29]([CH3:30])([CH3:31])[CH3:32].[OH2:1]>>[CH3:32][C:29]([CH3:31])([CH3:30])[c:26]1[cH:27][s:28][c:24]([n:25]1)-[c:20]1[cH:21][c:22]2[cH:23][c:15]([CH2:14][CH2:13][c:12]3[cH:11][cH:10][cH:9][cH:8][c:7]3[C:5]([OH:1])=[O:6])[cH:16][cH:17][c:18]2[o:19]1.[CH3:2][CH2:3][OH:4]
OCCC=C1CCCOC1>>OCCCC1CCCOC1,[OH:1][CH2:2][CH2:3][CH:4]=[C:5]1[CH2:6][CH2:7][CH2:8][O:9][CH2:10]1>>[OH:1][CH2:2][CH2:3][CH2:4][CH:5]1[CH2:6][CH2:7][CH2:8][O:9][CH2:10]1
CCOC(=O)C=Cc1nc(COc2ccc(COc3nn(cc3C=CP(=O)(OCC)OCC)-c3ccccc3)cc2OC)c(C)o1.O>>CCOP(=O)(OCC)C=Cc1cn(nc1OCc1ccc(OCc2nc(C=CC(O)=O)oc2C)c(OC)c1)-c1ccccc1,[CH3:2][CH2:3][O:4][C:5](=[O:6])[CH:7]=[CH:8][c:9]1[n:10][c:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17]([CH2:18][O:19][c:20]3[n:21][n:22]([cH:23][c:24]3[CH:25]=[CH:26][P:27](=[O:28])([O:29][CH2:30][CH3:31])[O:32][CH2:33][CH3:34])-[c:35]3[cH:36][cH:37][cH:38][cH:39][cH:40]3)[cH:41][c:42]2[O:43][CH3:44])[c:45]([CH3:46])[o:47]1.[OH2:1]>>[CH3:34][CH2:33][O:32][P:27](=[O:28])([O:29][CH2:30][CH3:31])[CH:26]=[CH:25][c:24]1[cH:23][n:22]([n:21][c:20]1[O:19][CH2:18][c:17]1[cH:16][cH:15][c:14]([O:13][CH2:12][c:11]2[n:10][c:9]([CH:8]=[CH:7][C:5]([OH:1])=[O:6])[o:47][c:45]2[CH3:46])[c:42]([O:43][CH3:44])[cH:41]1)-[c:35]1[cH:36][cH:37][cH:38][cH:39][cH:40]1.[CH3:2][CH2:3][OH:4]
Cc1sc(C(=O)C=Cc2ccc(cc2)C(O)=O)c2CC3C(c12)C3(C)C>>Cc1sc(C(=O)CCc2ccc(cc2)C(O)=O)c2CC3C(c12)C3(C)C,[CH3:1][c:2]1[s:3][c:4]([C:5](=[O:6])[CH:7]=[CH:8][c:9]2[cH:10][cH:11][c:12]([cH:13][cH:14]2)[C:15]([OH:16])=[O:17])[c:18]2[CH2:19][CH:20]3[CH:21]([c:22]12)[C:23]3([CH3:24])[CH3:25]>>[CH3:1][c:2]1[s:3][c:4]([C:5](=[O:6])[CH2:7][CH2:8][c:9]2[cH:14][cH:13][c:12]([cH:11][cH:10]2)[C:15]([OH:16])=[O:17])[c:18]2[CH2:19][CH:20]3[CH:21]([c:22]12)[C:23]3([CH3:24])[CH3:25]
COc1ccc2c(c1)sc1nc(c[n]21)C(O)C1CC1>>COc1ccc2c(c1)sc1nc(c[n]21)C(=O)C1CC1,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[s:9][c:10]1[n:11][c:12]([cH:13][n:14]21)[CH:15]([OH:16])[CH:17]1[CH2:18][CH2:19]1>>[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[c:7]([cH:8]1)[s:9][c:10]1[n:11][c:12]([cH:13][n:14]21)[C:15](=[O:16])[CH:17]1[CH2:18][CH2:19]1
COc1ccc([N+]([O-])=O)c2nc(C)sc12>>Cc1nc2c(ccc(O)c2s1)[N+]([O-])=O,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]([N+:7]([O-:8])=[O:9])[c:10]2[n:11][c:12]([CH3:13])[s:14][c:15]12>>[CH3:13][c:12]1[n:11][c:10]2[c:6]([cH:5][cH:4][c:3]([OH:2])[c:15]2[s:14]1)[N+:7]([O-:8])=[O:9].[C:1]
COc1cc(OC)cc(c1)C(O)c1cccc(OCc2ccccc2)c1>>COc1cc(OC)cc(c1)C(=O)c1cccc(OCc2ccccc2)c1,[CH3:1][O:2][c:3]1[cH:4][c:5]([O:6][CH3:7])[cH:8][c:9]([cH:10]1)[CH:11]([OH:12])[c:13]1[cH:14][cH:15][cH:16][c:17]([O:18][CH2:19][c:20]2[cH:21][cH:22][cH:23][cH:24][cH:25]2)[cH:26]1>>[CH3:7][O:6][c:5]1[cH:4][c:3]([O:2][CH3:1])[cH:10][c:9]([cH:8]1)[C:11](=[O:12])[c:13]1[cH:14][cH:15][cH:16][c:17]([O:18][CH2:19][c:20]2[cH:25][cH:24][cH:23][cH:22][cH:21]2)[cH:26]1
CC(C)(C)N(CC([O-])=O)C(=O)C1=C(O)C2(CCOCC2)c2c(Cl)cccc2C1=O>>OC(=O)CNC(=O)C1=C(O)C2(CCOCC2)c2c(Cl)cccc2C1=O,[CH3:1][C:2]([CH3:3])([CH3:4])[N:5]([CH2:6][C:7]([O-:8])=[O:9])[C:10](=[O:11])[C:12]1=[C:13]([OH:14])[C:15]2([CH2:16][CH2:17][O:18][CH2:19][CH2:20]2)[c:21]2[c:22]([Cl:23])[cH:24][cH:25][cH:26][c:27]2[C:28]1=[O:29]>>[OH:8][C:7](=[O:9])[CH2:6][NH:5][C:10](=[O:11])[C:12]1=[C:13]([OH:14])[C:15]2([CH2:20][CH2:19][O:18][CH2:17][CH2:16]2)[c:21]2[c:22]([Cl:23])[cH:24][cH:25][cH:26][c:27]2[C:28]1=[O:29].[C:3].[C:2].[C:1].[C:4]
COc1cc(F)c(F)c(C(=O)c2cnc(NC3CCN(CC3)S(C)(=O)=O)nc2N)c1OC>>COc1cc(F)c(F)c(C(=O)c2cnc(NC3CCN(CC3)S(C)(=O)=O)nc2N)c1O,[CH3:1][O:2][c:3]1[cH:4][c:5]([F:6])[c:7]([F:8])[c:9]([C:10](=[O:11])[c:12]2[cH:13][n:14][c:15]([NH:16][CH:17]3[CH2:18][CH2:19][N:20]([CH2:21][CH2:22]3)[S:23]([CH3:24])(=[O:25])=[O:26])[n:27][c:28]2[NH2:29])[c:30]1[O:31][CH3:32]>>[CH3:1][O:2][c:3]1[cH:4][c:5]([F:6])[c:7]([F:8])[c:9]([C:10](=[O:11])[c:12]2[cH:13][n:14][c:15]([NH:16][CH:17]3[CH2:22][CH2:21][N:20]([CH2:19][CH2:18]3)[S:23]([CH3:24])(=[O:25])=[O:26])[n:27][c:28]2[NH2:29])[c:30]1[OH:31].[C:32]
CCn1c(nc(F)c1[Si](C)(C)C)-c1cccc2ccccc12>>CCn1cc(F)nc1-c1cccc2ccccc12,[CH3:1][CH2:2][n:3]1[c:4]([n:5][c:6]([F:7])[c:8]1[Si:9]([CH3:10])([CH3:11])[CH3:12])-[c:13]1[cH:14][cH:15][cH:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]12>>[CH3:1][CH2:2][n:3]1[cH:8][c:6]([F:7])[n:5][c:4]1-[c:13]1[cH:14][cH:15][cH:16][c:17]2[cH:18][cH:19][cH:20][cH:21][c:22]12.[C:11].[C:10].[C:12].[Si:9]
COC(=O)C(CC(C)C)N1C(C(N2C(COC2=O)c2ccccc2)C1=O)c1ccccc1C=C.O>>CC(C)CC(N1C(C(N2C(COC2=O)c2ccccc2)C1=O)c1ccccc1C=C)C(O)=O,[CH3:2][O:3][C:4](=[O:5])[CH:6]([CH2:7][CH:8]([CH3:9])[CH3:10])[N:11]1[CH:12]([CH:13]([N:14]2[CH:15]([CH2:16][O:17][C:18]2=[O:19])[c:20]2[cH:21][cH:22][cH:23][cH:24][cH:25]2)[C:26]1=[O:27])[c:28]1[cH:29][cH:30][cH:31][cH:32][c:33]1[CH:34]=[CH2:35].[OH2:1]>>[CH3:9][CH:8]([CH3:10])[CH2:7][CH:6]([N:11]1[CH:12]([CH:13]([N:14]2[CH:15]([CH2:16][O:17][C:18]2=[O:19])[c:20]2[cH:21][cH:22][cH:23][cH:24][cH:25]2)[C:26]1=[O:27])[c:28]1[cH:29][cH:30][cH:31][cH:32][c:33]1[CH:34]=[CH2:35])[C:4]([OH:1])=[O:5].[CH3:2][OH:3]
CNc1ccc(c(OC)c1)-c1ccc2nonc2c1>>CNc1ccc(c(O)c1)-c1ccc2nonc2c1,[CH3:1][NH:2][c:3]1[cH:4][cH:5][c:6]([c:7]([O:8][CH3:9])[cH:10]1)-[c:11]1[cH:12][cH:13][c:14]2[n:15][o:16][n:17][c:18]2[cH:19]1>>[CH3:1][NH:2][c:3]1[cH:4][cH:5][c:6]([c:7]([OH:8])[cH:10]1)-[c:11]1[cH:12][cH:13][c:14]2[n:15][o:16][n:17][c:18]2[cH:19]1.[C:9]
CCOC(=O)c1ccc(OCCCCCCP(=O)(OCC)OCC)cc1.O>>CCOP(=O)(CCCCCCOc1ccc(cc1)C(O)=O)OCC,[CH3:2][CH2:3][O:4][C:5](=[O:6])[c:7]1[cH:8][cH:9][c:10]([O:11][CH2:12][CH2:13][CH2:14][CH2:15][CH2:16][CH2:17][P:18](=[O:19])([O:20][CH2:21][CH3:22])[O:23][CH2:24][CH3:25])[cH:26][cH:27]1.[OH2:1]>>[CH3:25][CH2:24][O:23][P:18](=[O:19])([CH2:17][CH2:16][CH2:15][CH2:14][CH2:13][CH2:12][O:11][c:10]1[cH:9][cH:8][c:7]([cH:27][cH:26]1)[C:5]([OH:1])=[O:6])[O:20][CH2:21][CH3:22].[CH3:2][CH2:3][OH:4]
CC(C)(C)OC(=O)N1CCCC(C1)=Cc1ccc(F)cc1>>CC(C)(C)OC(=O)N1CCCC(Cc2ccc(F)cc2)C1,[CH3:1][C:2]([CH3:3])([CH3:4])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH2:11][C:12]([CH2:13]1)=[CH:14][c:15]1[cH:16][cH:17][c:18]([F:19])[cH:20][cH:21]1>>[CH3:4][C:2]([CH3:3])([CH3:1])[O:5][C:6](=[O:7])[N:8]1[CH2:9][CH2:10][CH2:11][CH:12]([CH2:14][c:15]2[cH:21][cH:20][c:18]([F:19])[cH:17][cH:16]2)[CH2:13]1
OCC1=C(CCC1)c1ccc(Br)cc1>>Brc1ccc(cc1)C1=C(CCC1)C=O,[OH:1][CH2:2][C:3]1=[C:4]([CH2:5][CH2:6][CH2:7]1)[c:8]1[cH:9][cH:10][c:11]([Br:12])[cH:13][cH:14]1>>[Br:12][c:11]1[cH:13][cH:14][c:8]([cH:9][cH:10]1)[C:4]1=[C:3]([CH2:7][CH2:6][CH2:5]1)[CH:2]=[O:1]
CN(CCCCC(=O)Nc1cc(C)c(CO)cc1C)C(=O)CCN1CCC(CC1)OC(=O)Nc1ccccc1-c1ccccc1>>CN(CCCCC(=O)Nc1cc(C)c(C=O)cc1C)C(=O)CCN1CCC(CC1)OC(=O)Nc1ccccc1-c1ccccc1,[CH3:1][N:2]([CH2:3][CH2:4][CH2:5][CH2:6][C:7](=[O:8])[NH:9][c:10]1[cH:11][c:12]([CH3:13])[c:14]([CH2:15][OH:16])[cH:17][c:18]1[CH3:19])[C:20](=[O:21])[CH2:22][CH2:23][N:24]1[CH2:25][CH2:26][CH:27]([CH2:28][CH2:29]1)[O:30][C:31](=[O:32])[NH:33][c:34]1[cH:35][cH:36][cH:37][cH:38][c:39]1-[c:40]1[cH:41][cH:42][cH:43][cH:44][cH:45]1>>[CH3:1][N:2]([CH2:3][CH2:4][CH2:5][CH2:6][C:7](=[O:8])[NH:9][c:10]1[cH:11][c:12]([CH3:13])[c:14]([CH:15]=[O:16])[cH:17][c:18]1[CH3:19])[C:20](=[O:21])[CH2:22][CH2:23][N:24]1[CH2:29][CH2:28][CH:27]([CH2:26][CH2:25]1)[O:30][C:31](=[O:32])[NH:33][c:34]1[cH:35][cH:36][cH:37][cH:38][c:39]1-[c:40]1[cH:45][cH:44][cH:43][cH:42][cH:41]1
FC(F)(F)C(=O)Nc1ccc2CCC(=O)c2c1>>OC1CCc2ccc(NC(=O)C(F)(F)F)cc12,[F:1][C:2]([F:3])([F:4])[C:5](=[O:6])[NH:7][c:8]1[cH:9][cH:10][c:11]2[CH2:12][CH2:13][C:14](=[O:15])[c:16]2[cH:17]1>>[OH:15][CH:14]1[CH2:13][CH2:12][c:11]2[cH:10][cH:9][c:8]([NH:7][C:5](=[O:6])[C:2]([F:1])([F:3])[F:4])[cH:17][c:16]12
COc1cc(cc(Br)c1OC)C1C=c2cc(C)c(=O)oc2=C2OC(N)N(C#N)C12>>COc1cc(cc(Br)c1OC)C1C=c2cc(C)c(=O)oc2=C2OCN(C#N)C12,
OCc1c(Cl)cccc1I>>Clc1cccc(I)c1C=O,[CH3:5][C:1]([CH3:6])([CH3:7])[O:2][N:3]=[O:4].[CH3:30][O:29][c:27]1[cH:28][c:23]([cH:24][c:25]([Br:33])[c:26]1[O:31][CH3:32])[CH:13]1[CH:14]=[c:15]2[cH:16][c:17]([CH3:22])[c:18](=[O:21])[o:19][c:20]2=[C:11]2[O:10][CH:9]([NH2:8])[N:34]([C:35]#[N:36])[CH:12]12>>[CH3:30][O:29][c:27]1[cH:28][c:23]([cH:24][c:25]([Br:33])[c:26]1[O:31][CH3:32])[CH:13]1[CH:14]=[c:15]2[cH:16][c:17]([CH3:22])[c:18](=[O:21])[o:19][c:20]2=[C:11]2[O:10][CH2:9][N:34]([C:35]#[N:36])[CH:12]12
COCOc1c(OC)ccc(COc2ccc(cc2)-c2ccc(CC(=O)OC)cc2)c1C(=O)OC(C)(C)C>>COC(=O)Cc1ccc(cc1)-c1ccc(OCc2ccc(OC)c(O)c2C(=O)OC(C)(C)C)cc1,[CH3:1][O:2][CH2:3][O:4][c:5]1[c:6]([O:7][CH3:8])[cH:9][cH:10][c:11]([CH2:12][O:13][c:14]2[cH:15][cH:16][c:17]([cH:18][cH:19]2)-[c:20]2[cH:21][cH:22][c:23]([CH2:24][C:25](=[O:26])[O:27][CH3:28])[cH:29][cH:30]2)[c:31]1[C:32](=[O:33])[O:34][C:35]([CH3:36])([CH3:37])[CH3:38]>>[CH3:28][O:27][C:25](=[O:26])[CH2:24][c:23]1[cH:29][cH:30][c:20]([cH:21][cH:22]1)-[c:17]1[cH:18][cH:19][c:14]([O:13][CH2:12][c:11]2[cH:10][cH:9][c:6]([O:7][CH3:8])[c:5]([OH:4])[c:31]2[C:32](=[O:33])[O:34][C:35]([CH3:38])([CH3:37])[CH3:36])[cH:15][cH:16]1.[C:1].[C:3].[O:2]
COc1ccc2[nH]c3c(C)ccc(C)c3c2c1>>Cc1ccc(C)c2c3cc(O)ccc3[nH]c12,[CH3:1][O:2][c:3]1[cH:4][cH:5][c:6]2[nH:7][c:8]3[c:9]([CH3:10])[cH:11][cH:12][c:13]([CH3:14])[c:15]3[c:16]2[cH:17]1>>[CH3:10][c:9]1[cH:11][cH:12][c:13]([CH3:14])[c:15]2[c:16]3[cH:17][c:3]([OH:2])[cH:4][cH:5][c:6]3[nH:7][c:8]12.[C:1]
